ulasan,rating
akun gopay saya di blok,1
Baru download gojek dan hape baru trus ditop u gopay transaksi dialfamart transaksi bloked transaksilaporan di pusat bantuan gak jelas yang ditanyakan apa jawaban lainlama lama gojek dikelola Tokopedia udah nyimpangapa gojek anak bangsa seperti dulu apa punya Tokopedia,1
Gimana ini kak pin saya salah terus padahal udah di ubah masih salah,1
Biar aman kamu tidak bisa pakai gojek Jadi saya uninstal biar aman,1
Kumpulan driver sampah,1
Makin lama gojek makin ngga jelas susah bgt dapet driver buat gofood ongkirnya juga mahal bgt Mohon diperbaiki,1
Aplikasi asuuu  makin lama main gx jelas  Ais hrs aplikasi ini lgi  Mending pake aplikasi lain lebih akurat,1
Misi dari gojek jago gak jelas syarat penyelesaiannya padahal udah jelas selesaikan misi dengan membeli voucher gpc 50k tapi masih gak dianggap belum selesai ,1
Gak jelas,1
Kebanyakan pembaruan,1
Payah jarang ada voucher semenjak bukan pak nadiem lagi,1
Banyak maling dari driver gosend kurir sialan cuma nitip paket HP seharga 17 juta aja dibawa kabur udah komplain ke cs dijawab gak tau siapa identitas kurir aneh banget lu punya platform dan ini udh 2 hari belum ada respon lagi balikin duit gua dan lebih selektif utk menerima calon driver jangan calon maling diterima,1
Ini aplikasi knp Masa pakai kuota data gak bisa di gunakan Harus pakai wifi Emang di semua tmpt ada wifiiianehhh bgt aplikasi,1
Gojek sekarang sepi driver,1
Kecewa dengan gofood sekarang tidak bisa lagi pakai 2 voucer sekaligus voucer aplikasivoucer resto Jadinya gk tertarik lagi untuk naikin go club Berharap aplikasi bisa kembali seperti dulu,1
Aplikasi gak bisa di install,1
 Mari kita galbay pinjol Supaya bangkrut supaya Indonesia bebas riba,1
Rute gofoodnya dijauhin biar biaya antarnya nambah makin lama makin mahal dan ngga ada diskon error sering bgt customer service lama,1
